#Channel Energy Counts
749 153.511 222605
750 153.683 222739
751 153.855 221930
752 154.026 221757
753 154.198 222741
754 154.37 221958
755 154.542 223231
756 154.714 222473
757 154.886 222449
758 155.058 221888
759 155.23 222284
760 155.401 222463
761 155.573 222033
762 155.745 222826
763 155.917 222434
764 156.089 222248
765 156.261 223701
766 156.433 222168
767 156.604 222222
768 156.776 221569
769 156.948 222621
770 157.12 222168
771 157.292 222977
772 157.464 222736
773 157.636 223065
774 157.807 222845
775 157.979 223232
776 158.151 222436
777 158.323 222172
778 158.495 221929
779 158.667 221755
780 158.839 222245
781 159.011 222441
782 159.182 222405
783 159.354 222993
784 159.526 222116
785 159.698 222676
786 159.87 222022
787 160.042 221812
788 160.214 222170
789 160.385 221621
790 160.557 221483
791 160.729 222194
792 160.901 222754
793 161.073 222485
794 161.245 222225
795 161.417 222926
796 161.588 222705
797 161.76 222690
798 161.932 221530
799 162.104 223058
800 162.276 223420
801 162.448 223271
802 162.62 222509
803 162.791 223385
804 162.963 222403
805 163.135 223291
806 163.307 222322
807 163.479 223086
808 163.651 222993
809 163.823 222006
810 163.995 222368
811 164.166 222974
812 164.338 222179
813 164.51 222777
814 164.682 221305
815 164.854 221502
816 165.026 222511
817 165.198 221848
818 165.369 221534
819 165.541 221731
820 165.713 221861
821 165.885 221849
822 166.057 222791
823 166.229 222067
824 166.401 221662
825 166.572 222321
826 166.744 219960
827 166.916 221745
828 167.088 220764
829 167.26 221379
830 167.432 221957
831 167.604 222171
832 167.776 221990
833 167.947 221076
834 168.119 222153
835 168.291 221469
836 168.463 221839
837 168.635 221217
838 168.807 222305
839 168.979 221401
840 169.15 221543
841 169.322 222426
842 169.494 221600
843 169.666 222122
844 169.838 221255
845 170.01 221954
846 170.182 221556
847 170.353 221440
848 170.525 221797
849 170.697 221528
850 170.869 222038
851 171.041 222475
852 171.213 221657
853 171.385 221519
854 171.557 222420
855 171.728 221388
856 171.9 222413
857 172.072 221477
858 172.244 221320
859 172.416 221111
860 172.588 221081
861 172.76 221837
862 172.931 221177
863 173.103 222061
864 173.275 222151
865 173.447 221332
866 173.619 221254
867 173.791 221302
868 173.963 221961
869 174.134 223018
870 174.306 221937
871 174.478 222295
872 174.65 222670
873 174.822 221161
874 174.994 221217
875 175.166 223019
